repayment_id,loan_id,due_date,payment_date,amount_due,amount_paid
1,1,2022-06-23,2022-06-28,4123.42,4123.42
2,1,2022-07-23,2022-07-28,4123.42,4123.42
3,1,2022-08-22,2022-08-22,4123.42,4123.42
4,1,2022-09-21,2022-09-21,4123.42,4123.42
5,1,2022-10-21,2022-10-21,4123.42,4123.42
6,1,2022-11-20,2022-11-30,4123.42,2153.73
7,1,2022-12-20,2022-12-20,4123.42,4123.42
8,1,2023-01-19,2023-01-19,4123.42,4123.42
9,1,2023-02-18,2023-03-20,4123.42,3493.54
10,1,2023-03-20,2023-04-19,4123.42,3014.02
11,1,2023-04-19,2023-04-19,4123.42,4123.42
12,1,2023-05-19,2023-06-18,4123.42,2885.03
13,1,2023-06-18,2023-06-18,4123.42,4123.42
14,1,2023-07-18,2023-07-23,4123.42,4123.42
15,1,2023-08-17,2023-08-17,4123.42,4123.42
16,1,2023-09-16,2023-09-16,4123.42,4123.42
17,1,2023-10-16,2023-10-16,4123.42,4123.42
18,1,2023-11-15,2023-11-15,4123.42,4123.42
19,1,2023-12-15,2024-01-14,4123.42,3952.58
20,1,2024-01-14,2024-01-14,4123.42,4123.42
21,1,2024-02-13,2024-03-14,4123.42,3605.26
22,1,2024-03-14,2024-03-19,4123.42,4123.42
23,1,2024-04-13,2024-04-18,4123.42,4123.42
24,1,2024-05-13,2024-05-13,4123.42,4123.42
25,1,2024-06-12,2024-06-12,4123.42,4123.42
26,1,2024-07-12,2024-07-22,4123.42,3416.3
27,1,2024-08-11,2024-09-10,4123.42,4020.37
28,1,2024-09-10,2024-09-10,4123.42,4123.42
29,1,2024-10-10,2024-10-15,4123.42,4123.42
30,1,2024-11-09,2024-11-09,4123.42,4123.42
31,1,2024-12-09,2024-12-09,4123.42,4123.42
32,1,2025-01-08,2025-01-08,4123.42,4123.42
33,1,2025-02-07,2025-02-07,4123.42,4123.42
34,1,2025-03-09,2025-03-19,4123.42,2268.94
35,1,2025-04-08,2025-04-08,4123.42,4123.42
36,1,2025-05-08,2025-05-08,4123.42,4123.42
37,2,2021-10-31,2021-11-10,1290.77,1123.9
38,2,2021-11-30,2021-11-30,1290.77,1290.77
39,2,2021-12-30,2021-12-30,1290.77,1290.77
40,2,2022-01-29,2022-02-28,1290.77,1138.19
41,2,2022-02-28,2022-03-30,1290.77,821.74
42,2,2022-03-30,2022-04-04,1290.77,1290.77
43,2,2022-04-29,2022-04-29,1290.77,1290.77
44,2,2022-05-29,2022-05-29,1290.77,1290.77
45,2,2022-06-28,2022-06-28,1290.77,1290.77
46,2,2022-07-28,2022-08-27,1290.77,667.61
47,2,2022-08-27,2022-09-26,1290.77,988.92
48,2,2022-09-26,2022-10-01,1290.77,1290.77
49,2,2022-10-26,2022-11-25,1290.77,676.2
50,2,2022-11-25,2022-12-25,1290.77,1169.12
51,2,2022-12-25,2023-01-24,1290.77,1072.98
52,2,2023-01-24,2023-02-23,1290.77,1224.3
53,2,2023-02-23,2023-02-28,1290.77,1290.77
54,2,2023-03-25,2023-04-24,1290.77,844.37
55,2,2023-04-24,2023-04-24,1290.77,1290.77
56,2,2023-05-24,2023-06-03,1290.77,648.39
57,2,2023-06-23,2023-06-28,1290.77,1290.77
